사업장명,업종구분대분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,데이터갱신일자
제주마임 삼화지사,방문판매업,20190215,,영업/정상,,,,,,제주특별자치도 제주시 이도이동 ****번지 전원파크맨션 ***호,"제주특별자치도 제주시 신성로**길 **, *층 ***호 (이도이동, 전원파크맨션)",63206.0,2020-04-09 02:40:00
마임 노형서부지사,방문판매업,20190218,,영업/정상,,,,,,제주특별자치도 제주시 연동 ****번지 *호 수현빌딩 *층,"제주특별자치도 제주시 일주서로 ****, 수현빌딩 *층 (연동)",63126.0,2019-02-21 02:21:27
농업회사법인 주식회사 제주활인목장,방문판매업,20230831,,영업/정상,,,,,,제주특별자치도 제주시 아라일동 산 *-*,,,2023-10-12 02:40:00
구좌농업협동조합,방문판매업,20190417,,영업/정상,,,,,,제주특별자치도 제주시 구좌읍 세화리 ****번지 *호,제주특별자치도 제주시 구좌읍 구좌로 **,63361.0,2022-09-07 02:40:00
주식회사 유니이앤티(UNI E&T Co.Ltd.),방문판매업,20190402,,영업/정상,,,,,,제주특별자치도 제주시 일도이동 ****-**,"제주특별자치도 제주시 신산로 **, *층 (일도이동)",63265.0,2021-08-07 02:40:00
세진 C&C 마트,방문판매업,20190708,,영업/정상,,,,,,제주특별자치도 제주시 화북일동 ****번지 **호,제주특별자치도 제주시 일주동로 *** (화북일동),63292.0,2019-07-10 02:21:55
주식회사 써니빌렌트카,방문판매업,20190725,,영업/정상,,,,,,제주특별자치도 제주시 노형동 ****번지,제주특별자치도 제주시 오광로 *** (노형동),63106.0,2019-07-27 02:21:47
신 로하스,방문판매업,20181004,,영업/정상,,,,20210930.0,,제주특별자치도 제주시 노형동 ****-* 신영빌딩,"제주특별자치도 제주시 월랑로 **, 신영빌딩 ***호 (노형동)",63100.0,2022-01-10 02:40:00
늘푸른바이오환경,방문판매업,20220415,,영업/정상,,,,,,제주특별자치도 제주시 삼도이동 ***-*,제주특별자치도 제주시 전농로*길 **-*(삼도이동),63171.0,2022-04-17 00:22:33
뉴톤보청기 제주지사,방문판매업,20241104,,영업/정상,,,,,,제주특별자치도 제주시 이도일동 ****-** *층,"제주특별자치도 제주시 서광로 ***, *층 (이도일동)",63198.0,2025-05-29 02:40:00
제주야렌트카 주식회사,방문판매업,20241112,,영업/정상,,,,,,제주특별자치도 제주시 용담이동 ****-*,제주특별자치도 제주시 용문로 **-* (용담이동),63164.0,2025-07-26 02:40:00
백년가약,방문판매업,20100930,,영업/정상,,,,,,제주특별자치도 제주시 연동 ****-* 정한아파트,"제주특별자치도 제주시 일주서로 ****, 정한아파트 제가동 제*층 제***호 (연동)",63126.0,2022-11-09 02:40:00
(주)넥슨네트웍스,방문판매업,20101229,,영업/정상,,,,,,제주특별자치도 제주시 노형동 ****-* 현대해상,"제주특별자치도 제주시 도령로 **, 현대해상빌딩 (노형동)",63098.0,2024-05-15 02:40:00
에치와이 제주점,방문판매업,20110103,,영업/정상,,,,,,제주특별자치도 제주시 삼도일동 ***-**,제주특별자치도 제주시 전농로*길 **-* (삼도일동),63173.0,2021-05-14 02:40:00
현대건설장비제주대리점,방문판매업,20060720,,영업/정상,,,,,,제주특별자치도 제주시 화북이동 ****번지 *호,제주특별자치도 제주시 부록*길 ** (화북이동),63304.0,2018-08-31 23:59:59
A+과학나라,방문판매업,20061108,,영업/정상,,,,,,제주특별자치도 제주시 연동 ***번지 **호,"제주특별자치도 제주시 신대로*길 **, ***호 (연동, 주영빌라)",63119.0,2018-08-31 23:59:59
