연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2012,대정읍,농가수,50,727,3,3,92,201,17,2024-05-13
2012,대정읍,면적,38.8,505,1,0.9,50,68.2,3.9,2024-05-13
2012,대정읍,생산량,1067,15691,29,55,1575,1910,78,2024-05-13
2012,남원읍,농가수,180,4017,233,489,390,1129,126,2024-05-13
2012,남원읍,면적,171.3,3527.3,197.9,153.5,416.7,546.1,34.4,2024-05-13
2012,남원읍,생산량,5021,122287,6555,13211,15285,18346,500,2024-05-13
2012,성산읍,농가수,73,1558,25,5,111,136,54,2024-05-13
2012,성산읍,면적,40,837,20,2,45.3,43.7,10.5,2024-05-13
2012,성산읍,생산량,1244,29769,740,114,1653,965,132,2024-05-13
2012,안덕면,농가수,128,1239,20,28,112,109,33,2024-05-13
2012,안덕면,면적,79.6,763.4,10.6,9.5,42.8,39.9,14.8,2024-05-13
2012,안덕면,생산량,2220,23634,318,604,1477,1016,350,2024-05-13
2012,표선면,농가수,50,838,32,122,129,526,12,2024-05-13
2012,표선면,면적,36.1,946.5,24.9,48,85,208,3.1,2024-05-13
2012,표선면,생산량,1085,29511,939,2880,2550,8242,93,2024-05-13
2012,송산동,농가수,10,302,15,40,5,93,0,2024-05-13
2012,송산동,면적,3.6,170,4.5,18.6,0.2,29.5,0,2024-05-13
2012,송산동,생산량,62,4814,52,862,5,546,0,2024-05-13
2012,천지동,농가수,10,23,13,0,0,6,0,2024-05-13
2012,천지동,면적,3,10,4,0,0,2.1,0,2024-05-13
2012,천지동,생산량,105,450,148,0,0,63,0,2024-05-13
2012,효돈동,농가수,50,648,0,0,26,174,0,2024-05-13
2012,효돈동,면적,35,302.8,0,0,18,52.5,0,2024-05-13
2012,효돈동,생산량,1709,8879,0,0,439,1366,0,2024-05-13
2012,영천동,농가수,50,769,23,22,38,290,17,2024-05-13
2012,영천동,면적,29.2,631.8,19.5,1.7,23.3,100,4.1,2024-05-13
2012,영천동,생산량,1009,17949,832,57,781,2889,105,2024-05-13
2012,동홍동,농가수,15,384,8,0,4,51,0,2024-05-13
2012,동홍동,면적,9.7,163.3,5.5,0,1.1,17.2,0,2024-05-13
2012,동홍동,생산량,310,5244,186,0,18,455,0,2024-05-13
2012,서홍동,농가수,25,284,19,30,22,29,0,2024-05-13
2012,서홍동,면적,18.4,246.7,11,12.7,9.8,11.9,0,2024-05-13
2012,서홍동,생산량,510,6834,305,356,298,311,0,2024-05-13
2012,대륜동,농가수,15,386,10,3,12,96,6,2024-05-13
2012,대륜동,면적,13,446.3,5.7,1,4.9,36.4,1.2,2024-05-13
2012,대륜동,생산량,317,10966,137,17,7,791,12,2024-05-13
2012,대천동,농가수,88,683,44,30,79,578,12,2024-05-13
2012,대천동,면적,84.5,531.6,33,13,58.8,168.7,3.1,2024-05-13
2012,대천동,생산량,2754,17862,1109,698,1917,5145,87,2024-05-13
2012,중문동,농가수,89,1234,12,19,32,168,14,2024-05-13
2012,중문동,면적,66,572.8,9,4.9,24.6,50.7,2.8,2024-05-13
2012,중문동,생산량,1956,19145,302,266,802,1455,78,2024-05-13
2012,예래동,농가수,41,488,7,8,5,121,15,2024-05-13
2012,예래동,면적,32,589.6,3.4,3.1,4.5,43.2,2.9,2024-05-13
2012,예래동,생산량,994,18890,105,153,104,1147,54,2024-05-13
2013,대정읍,농가수,51,714,0,0,95,203,16,2024-05-13
2013,대정읍,면적,39,506,0,0,52,67,4,2024-05-13
2013,대정읍,생산량,1115,16666,0,0,1715,2530,88,2024-05-13
2013,남원읍,농가수,160,3740,238,408,506,1271,126,2024-05-13
2013,남원읍,면적,163,3414,199,139,531,551,33,2024-05-13
2013,남원읍,생산량,7110,141747,7005,10951,15283,21553,525,2024-05-13
2013,성산읍,농가수,73,1079,25,1,129,138,54,2024-05-13
2013,성산읍,면적,39,826,20,0,52,59,5,2024-05-13
2013,성산읍,생산량,1180,29609,748,14,1793,1497,113,2024-05-13
2013,안덕면,농가수,132,1101,18,7,115,132,20,2024-05-13
2013,안덕면,면적,81,762,11,2,51,46,15,2024-05-13
