측정 연도,측정 일자,측정 차수,정점명,측정 라인,수심,위도,경도,분류군(영명),분류군(국명),종(영명),종(국명),단위면적당생물량,피도,빈도,상대피도,상대빈도,중요도
2015,2015-03-25,1,토평,,3,,,Ochrophyta,대롱편모조식물문,Dictyopteris prolifera,가시뼈대그물말,,2,,,,
2015,2015-03-25,1,토평,,3,,,Ochrophyta,대롱편모조식물문,Dictyopteris prolifera,가시뼈대그물말,10,2,,,,
2015,2015-03-25,1,토평,,6,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,,1,,,,
2015,2015-03-25,1,토평,,10,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,,18,,,,
2015,2015-03-25,1,토평,,10,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,90,4,,,,
2015,2015-03-25,1,토평,,3,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,24,,,,
2015,2015-03-25,1,토평,,3,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,510,20,,,,
2015,2015-03-25,1,토평,,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,32,,,,
2015,2015-03-25,1,토평,,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,452,10,,,,
2015,2015-03-25,1,토평,,10,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,24,,,,
2015,2015-03-25,1,토평,,10,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,924,18,,,,
2015,2015-03-25,1,토평,,3,,,Rhodophyta,홍조식물문,Pterocladiella capillacea,개우무,,8,,,,
2015,2015-03-25,1,토평,,3,,,Rhodophyta,홍조식물문,Pterocladiella capillacea,개우무,6,1,,,,
2015,2015-03-25,1,토평,,6,,,,,Actinotrichia fragilis,고리방사털,20,1,,,,
2015,2015-03-25,1,토평,,10,,,Ochrophyta,대롱편모조식물문,Sargassum horneri,괭생이모자반,94,12,,,,
2015,2015-03-25,1,토평,,3,,,Chlorophyta,녹조식물문,Codium arabicum,떡청각,12,1,,,,
2015,2015-03-25,1,토평,,3,,,,,Melobesioidean algae,무절산호조류,,32,,,,
2015,2015-03-25,1,토평,,3,,,,,Melobesioidean algae,무절산호조류,,56,,,,
2015,2015-03-25,1,토평,,6,,,,,Melobesioidean algae,무절산호조류,,28,,,,
2015,2015-03-25,1,토평,,6,,,,,Melobesioidean algae,무절산호조류,,38,,,,
2015,2015-03-25,1,토평,,10,,,,,Melobesioidean algae,무절산호조류,,2,,,,
2015,2015-03-25,1,토평,,10,,,,,Melobesioidean algae,무절산호조류,,10,,,,
2015,2015-03-25,1,토평,,6,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,192,,,,,
2015,2015-03-25,1,토평,,6,,,Ochrophyta,대롱편모조식물문,Colpomenia peregrina,반질불레기말,190,8,,,,
2015,2015-03-25,1,토평,,10,,,Ochrophyta,대롱편모조식물문,Colpomenia peregrina,반질불레기말,,2,,,,
2015,2015-03-25,1,토평,,6,,,Chlorophyta,녹조식물문,Codium hubbsii,방석청각,,9,,,,
2015,2015-03-25,1,토평,,6,,,Chlorophyta,녹조식물문,Codium hubbsii,방석청각,80,2,,,,
2015,2015-03-25,1,토평,,10,,,Ochrophyta,대롱편모조식물문,Padina arborescens,부챗말,30,2,,,,
2015,2015-03-25,1,토평,,6,,,Ochrophyta,대롱편모조식물문,Colpomenia sinuosa,불레기말,,1,,,,
2015,2015-03-25,1,토평,,3,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,,1,,,,
2015,2015-03-25,1,토평,,10,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,,2,,,,
2015,2015-03-25,1,토평,,6,,,,,Articulated coralline algae,유절산호조류,,4,,,,
2015,2015-03-25,1,토평,,10,,,,,Articulated coralline algae,유절산호조류,,46,,,,
2015,2015-03-25,1,토평,,10,,,,,Articulated coralline algae,유절산호조류,462,26,,,,
2015,2015-03-25,1,토평,,3,,,Phaeophyta,갈조식물문,Dictyota dichotoma,참그물바탕말,,2,,,,
2015,2015-03-25,1,토평,,3,,,Phaeophyta,갈조식물문,Dictyota dichotoma,참그물바탕말,8,2,,,,
2015,2015-03-26,1,법환,A,6,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,,12,,,,
2015,2015-03-26,1,법환,A,10,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,,18,,,,
2015,2015-03-26,1,법환,A,10,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,342,18,,,,
2015,2015-03-26,1,법환,B,10,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,,1,,,,
2015,2015-03-26,1,법환,B,10,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,38,3,,,,
2015,2015-03-26,1,법환,A,3,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,544,20,,,,
2015,2015-03-26,1,법환,A,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,20,,,,
2015,2015-03-26,1,법환,A,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,386,22,,,,
2015,2015-03-26,1,법환,A,10,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,214,16,,,,
2015,2015-03-26,1,법환,B,3,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,656,22,,,,
2015,2015-03-26,1,법환,B,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,280,12,,,,
2015,2015-03-26,1,법환,A,3,,,Ochrophyta,대롱편모조식물문,Sargassum horneri,괭생이모자반,162,12,,,,
2015,2015-03-26,1,법환,A,3,,,,,Melobesioidean algae,무절산호조류,,22,,,,
2015,2015-03-26,1,법환,A,3,,,,,Melobesioidean algae,무절산호조류,,48,,,,
2015,2015-03-26,1,법환,A,6,,,,,Melobesioidean algae,무절산호조류,,87,,,,
2015,2015-03-26,1,법환,A,6,,,,,Melobesioidean algae,무절산호조류,,8,,,,
2015,2015-03-26,1,법환,A,10,,,,,Melobesioidean algae,무절산호조류,,38,,,,
2015,2015-03-26,1,법환,A,10,,,,,Melobesioidean algae,무절산호조류,,14,,,,
2015,2015-03-26,1,법환,B,3,,,,,Melobesioidean algae,무절산호조류,,20,,,,
2015,2015-03-26,1,법환,B,6,,,,,Melobesioidean algae,무절산호조류,,1,,,,
2015,2015-03-26,1,법환,B,6,,,,,Melobesioidean algae,무절산호조류,,2,,,,
2015,2015-03-26,1,법환,B,10,,,,,Melobesioidean algae,무절산호조류,,6,,,,
2015,2015-03-26,1,법환,B,10,,,,,Melobesioidean algae,무절산호조류,,8,,,,
2015,2015-03-26,1,법환,A,3,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,,16,,,,
2015,2015-03-26,1,법환,A,3,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,570,24,,,,
2015,2015-03-26,1,법환,A,6,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,,7,,,,
2015,2015-03-26,1,법환,A,6,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,44,8,,,,
2015,2015-03-26,1,법환,B,3,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,,34,,,,
2015,2015-03-26,1,법환,B,3,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,292,18,,,,
