업체 명부 번호(ID),품종순서,품종명,생산 시작 시기,해상 가이식 시기,입식량,생산량,육상시설 면적,해상 면적 (가이식 시설),종자생산 방식_1,종자생산 방식_2,종자생산 방식_3,종자생산 방식_4,종자생산 방식_기타,판매량,(국내)판매금액,(국내) 판매한 품종의 생산 시점,(국내) 판매방법_1,(국내) 판매방법_2,(국내) 판매방법_3,(국내) 판매처_1,(국내) 판매처_2,(국내) 판매처_3,(국내) 판매처_기타,(국내) 운송방법_1,(국내) 운송방법_2,(국내) 운송방법_3,운송방법_기타,(국내)판매_출하 시기,(해외) 판매량,(해외) 판매금액,(해외) 생산시점,(해외)판매_출하 시기,자가활용 현황 및 활용량,전체 폐사량,폐사원인_자연감모,폐사원인_질병,폐사원인_자연재해,폐사원인_외부사고,선별_폐기량 현황,냉_가온 여부,사육 수온,모조 보유 현황,(국내) 모조 구입 수량,(국내) 모조 구입금액,(해외)모조 구입 수량,(해외) 모조 구입 금액,영양제 금액_영양제,사료 금액_기타_금액,영양제 금액_공급안함,영양제 합계,생산비_인건비,생산비_모조 구입비,생산비_영양제 구입비,생산비_냉난방비,생산비_자재구입비,생산비_약품비,생산비_위탁수수료,생산비_차량운반비,생산비_기타_내용,생산비_기타,생산비_생산비 합계,품종명_1,향후 예정 생산량_1,품종명_2,향후 예정 생산량_2,품종명_3,향후 예정 생산량_3,품종명_4,향후 예정 생산량_4,품종명_5,향후 예정 생산량_5,품종명_6,향후 예정 생산량_6
0019-02000010,품종명1,미역,6,9,100,100,1344,50000,3,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1,19,50,50,10,해당없음,해당없음,0,0,0,0,8560,510,56,1430,144,0,0,520,0,300,11520,미역,100,쇠미역,1600,다시마,9000, , , , , , 
0019-02000010,품종명2,쇠미역,6,9,1700,1000,1344,50000,3,,,,,1000,3000,1,3,,,3,,,양식어민,3,,,탑차,10,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1,18,300,300,50,해당없음,해당없음,0,0,0,0,8560,510,56,1430,144,0,0,520,0,300,11520,미역,100,쇠미역,1600,다시마,9000, , , , , , 
0019-02000010,품종명3,다시마,9,10,9000,730,1344,50000,3,,,,,7300,37900,1,3,,,3,,,양식어민,3,,,탑차,11,해당없음,해당없음,7,해당없음,해당없음,19,19,0,0,0,해당없음,1,13,1500,1500,450,해당없음,해당없음,20,0,36,56,8560,510,56,1430,144,0,0,520,0,300,11520,미역,100,쇠미역,1600,다시마,9000, , , , , , 
0022-02010010,품종명1,쇠미역,5,8,3000,2000,320,30000,3,,,,,2000,30000,1,2,,,3,,,모름,3,,,차량,10,해당없음,해당없음,7,해당없음,모름,30,5,0,0,25,해당없음,4,해당없음,100,해당없음,해당없음,해당없음,해당없음,500,모름,모름,500,2000,0,1000,0,2000,0,0,500,0,500,6000,쇠미역,3000,다시마,3000, , , , , , , , 
0022-02010010,품종명2,다시마,9,10,3000,2000,280,40000,3,,,,,2000,3000,1,2,,,3,,,모름,3,,,차량,11,해당없음,해당없음,7,해당없음,모름,30,5,0,0,25,해당없음,4,해당없음,100,해당없음,해당없음,해당없음,해당없음,500,모름,모름,500,2000,0,1000,0,2000,0,0,500,0,500,6000,쇠미역,3000,다시마,3000, , , , , , , , 
0023-02000010,품종명1,미역,5,7,22500,13500,689,25000,1,3,,,,13500,13500,1,1,,,1,,,,3,,,"차량,선박",8,해당없음,해당없음,7,해당없음,해당없음,50,0,50,0,0,3800,4,해당없음,2000,2000,2000,해당없음,해당없음,0,0,0,0,12120,4600,0,260,990,0,0,1580,0,1820,21370,미역,15000,다시마,15000, , , , , , , , 
0023-02000010,품종명2,다시마,9,10,22500,13500,689,25000,1,3,,,,13500,13500,1,1,,,1,,,,3,,,"차량,선박",11,해당없음,해당없음,7,해당없음,해당없음,50,0,50,0,0,3700,4,해당없음,3000,3000,2600,해당없음,해당없음,0,0,0,0,12120,4600,0,260,990,0,0,1580,0,1820,21370,미역,15000,다시마,15000, , , , , , , , 
0189-07000010,품종명1,미역,5,8,9500,7000,408,50000,1,0,0,0,0,6000,15000,1,1,0,0,2,0,0,0,3,0,0,탑차,9,해당없음,해당없음,7,해당없음,해당없음,27,27,0,0,0,1000,4,해당없음,1200,1200,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,200,0,0,3500,0,0,1000,해당없음,0,9700,미역,950,,,,, , , , , , 
1205-09000010,품종명1,미역,9,11,8016,5763,1650,60000,1,3,,,,6106,15098,1,1,,,3,,,어민,2,,,,11,해당없음,해당없음,7,해당없음,해당없음,20,0,20,0,0,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3500,0,0,0,10000,0,0,500,비용,5000,19000,미역,1000000,다시마,1000000, , , , , , , , 
1205-09000010,품종명2,다시마,12,해당없음,11687,8975,1650,60000,1,3,,,,8103,14064,1,1,,,3,,,어민,2,,,,3,해당없음,해당없음,1,해당없음,해당없음,20,0,20,0,0,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3500,0,0,0,10000,0,0,500,비용,5000,19000,미역,1000000,다시마,1000000, , , , , , , , 
1206-09000010,품종명1,미역,4,9,11000,10000,660,10000,1,4,,,,10000,10000,1,1,,,1,,,,2,,,,10,해당없음,해당없음,7,해당없음,10,10,10,0,0,0,해당없음,1,15,2000,해당없음,해당없음,해당없음,해당없음,400,0,0,400,5000,500,1200,1000,8800,0,0,100,0,0,16600,미역,10000,다시마,15000,감태,5000, , , , , , 
1206-09000010,품종명2,다시마,9,11,12500,12000,660,10000,1,4,,,,12000,10000,1,1,,,1,,,,2,,,,12,해당없음,해당없음,7,해당없음,0,5,0,5,0,0,해당없음,1,13,1000,100,500,해당없음,해당없음,400,0,0,400,5000,500,1200,1000,8800,0,0,100,0,0,16600,미역,10000,다시마,15000,감태,5000, , , , , , 
1206-09000010,품종명3,감태,10,12,7000,5000,660,10000,1,4,,,,5000,10000,1,1,,,1,,,,2,,,,2,해당없음,해당없음,7,해당없음,10,30,30,0,0,0,해당없음,1,13,1000,해당없음,해당없음,해당없음,해당없음,400,0,0,400,5000,500,1200,1000,8800,0,0,100,0,0,16600,미역,10000,다시마,15000,감태,5000, , , , , , 
1285-09000010,품종명1,곰피,10,11,7000,5000,1128,33300,1,3,,,,5000,22500,1,3,,,1,,,,2,,,,2,해당없음,해당없음,7,해당없음,해당없음,0,0,0,0,0,해당없음,4,해당없음,해당없음,1000,100,해당없음,해당없음,0,0,0,0,20000,1000,0,5000,28800,0,9000,500,0,0,64300,곰피,5000,쇠미역,0,감태,5000,모자반,200,미역,10000,다시마,10000
1285-09000010,품종명2,쇠미역,4,10,3000,3000,1128,33300,1,3,,,,3000,6000,1,3,,,1,,,,2,,,,1,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,2000,200,해당없음,해당없음,0,0,0,0,20000,1000,0,5000,28800,0,9000,500,0,0,64300,곰피,5000,쇠미역,0,감태,5000,모자반,200,미역,10000,다시마,10000
1285-09000010,품종명3,감태,10,11,2000,2000,1128,33300,1,3,,,,2000,80000,1,3,,,1,,,,2,,,,1,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,20000,1000,0,5000,28800,0,9000,500,0,0,64300,곰피,5000,쇠미역,0,감태,5000,모자반,200,미역,10000,다시마,10000
1285-09000010,품종명4,모자반,4,6,200,0,1128,33300,1,3,,,,0,0,7,7,,,1,,,,2,,,,1,해당없음,해당없음,7,해당없음,해당없음,100,50,0,50,0,0,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,20000,1000,0,5000,28800,0,9000,500,0,0,64300,곰피,5000,쇠미역,0,감태,5000,모자반,200,미역,10000,다시마,10000
1285-09000010,품종명5,미역,5,9,20000,10000,1128,33300,1,3,,,,10000,20000,1,3,,,1,,,,2,,,,10,해당없음,해당없음,7,해당없음,해당없음,50,0,0,50,0,0,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,20000,1000,0,5000,28800,0,9000,500,0,0,64300,곰피,5000,쇠미역,0,감태,5000,모자반,200,미역,10000,다시마,10000
1285-09000010,품종명6,다시마,9,10,50000,10000,1128,33300,1,3,,,,10000,10000,1,3,,,1,,,,2,,,,11,해당없음,해당없음,7,해당없음,해당없음,80,0,0,80,0,0,1,15,해당없음,10500,700,해당없음,해당없음,0,0,0,0,20000,1000,0,5000,28800,0,9000,500,0,0,64300,곰피,5000,쇠미역,0,감태,5000,모자반,200,미역,10000,다시마,10000
1368-09010010,품종명1,미역,5,9,6100,6100,660,30000,1,3,,,,6000,10000,1,1,,,1,,,,2,,,,10,해당없음,해당없음,7,해당없음,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,500,100,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2700,600,0,0,200,0,0,100,비용,100,3700,미역,5000,다시마,6000, , , , , , , , 
1368-09010010,품종명2,다시마,9,11,5200,5200,660,30000,1,3,,,,5200,6000,1,1,,,1,,,,2,,,,12,해당없음,해당없음,7,해당없음,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,1000,100,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2700,600,0,0,200,0,0,100,비용,100,3700,미역,5000,다시마,6000, , , , , , , , 
1377-09000010,품종명1,미역,5,8,6000,4000,313,6000,1,3,4,,,4000,8000,1,3,,,1,,,,3,,,직접,10,해당없음,해당없음,7,해당없음,해당없음,30,10,20,0,0,해당없음,4,해당없음,해당없음,100,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1900,600,0,700,12000,20,1100,250,0,0,16570,미역,6000,다시마,12000, , , , , , , , 
1377-09000010,품종명2,다시마,11,12,12000,7500,620,12000,1,3,4,,,7500,15000,1,3,,,1,,,,3,,,직접,11,해당없음,해당없음,7,해당없음,해당없음,35,15,20,0,0,해당없음,4,해당없음,해당없음,200,400,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1900,600,0,700,12000,20,1100,250,0,0,16570,미역,6000,다시마,12000, , , , , , , , 
1390-09000010,품종명1,미역,5,9,5500,4000,709,50000,1,3,,,,4000,10000,1,1,,,1,,,,2,,,,10,해당없음,해당없음,7,해당없음,해당없음,27,0,0,27,0,해당없음,4,해당없음,해당없음,6000,400,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,500,400,0,360,4600,0,0,0,0,0,5860,미역,6000,다시마,8000, , , , , , , , 
1390-09000010,품종명2,다시마,9,10,7900,6900,709,50000,1,3,,,,6900,6900,1,1,,,1,,,,2,,,,11,해당없음,해당없음,7,해당없음,해당없음,13,0,0,13,0,해당없음,1,15,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,500,400,0,360,4600,0,0,0,0,0,5860,미역,6000,다시마,8000, , , , , , , , 
1445-09000010,품종명1,미역,9,9,4800,3000,198,10000,1,3,,,,3000,6000,1,1,,,1,,,,2,,,,10,해당없음,해당없음,7,해당없음,해당없음,38,0,0,38,0,해당없음,4,해당없음,0,3000,200,0,0,해당없음,해당없음,해당없음,해당없음,1500,200,0,800,3500,0,0,0,0,0,6000,미역,3000,다시마,3000, , , , , , , , 
1445-09000010,품종명2,다시마,9,10,4800,3000,198,10000,1,3,,,,3000,3000,1,1,,,1,,,,2,,,,12,해당없음,해당없음,7,해당없음,해당없음,38,0,0,38,0,해당없음,1,17,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1500,200,0,800,3500,0,0,0,0,0,6000,미역,3000,다시마,3000, , , , , , , , 
1467-09000010,품종명1,미역,5,9,16000,10010,521,10000,1,3,,,,7000,9000,1,3,,,1,,,,2,,,,10,해당없음,해당없음,7,해당없음,10,30,20,0,10,0,3000,2,20,해당없음,2000,150,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,950,0,300,10000,0,3000,500,0,0,19750,미역,13000,다시마,12000,곰피,700, , , , , , 
1467-09000010,품종명2,다시마,9,10,15000,7000,521,10000,1,3,,,,7000,6000,1,3,,,1,,,,2,,,,11,해당없음,해당없음,7,해당없음,10,30,20,0,10,0,2000,2,20,해당없음,4000,800,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,950,0,300,10000,0,3000,500,0,0,19750,미역,13000,다시마,12000,곰피,700, , , , , , 
1492-09000010,품종명1,미역,4,8,10000,3000,990,60000,1,3,,,,3000,6000,1,3,,,1,,,,2,,,,9,해당없음,해당없음,7,해당없음,해당없음,70,0,0,70,0,해당없음,4,해당없음,0,21000,1400,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,1400,0,100,10000,0,300,300,0,0,17100,미역,8600,다시마,9000, , , , , , , , 
1492-09000010,품종명2,다시마,10,11,10000,5000,990,60000,1,3,,,,5000,5000,1,3,,,1,,,,2,,,,12,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,1,15,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,1400,0,100,10000,0,300,300,0,0,17100,미역,8600,다시마,9000, , , , , , , , 
1502-09000010,품종명1,미역,5,10,9000,9000,1155,60000,1,3,,,,9000,18000,1,1,,,1,,,,2,,,,10,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,15000,1000,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,6500,1000,0,3000,8000,0,0,1000,0,0,19500,미역,9600,다시마,12000, , , , , , , , 
1502-09000010,품종명2,다시마,9,11,12000,12000,1155,60000,1,3,,,,12000,17000,1,1,,,1,,,,2,,,,12,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1,15,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,6500,1000,0,3000,8000,0,0,1000,0,0,19500,미역,9600,다시마,12000, , , , , , , , 
1513-09000010,품종명1,미역,10,10,5000,5000,495,15000,1,3,,,,5000,10000,2,2,,,2,,,,1,,,,10,해당없음,해당없음,7,해당없음,50,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,500,500,300,해당없음,해당없음,300,0,0,300,2500,650,550,0,250,0,0,100,0,0,4050,미역,5000,다시마,6000, , , , , , , , 
1513-09000010,품종명2,다시마,12,12,6000,6000,495,15000,1,3,,,,6000,6000,2,2,,,2,,,,1,,,,12,해당없음,해당없음,7,해당없음,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,1000,1000,350,해당없음,해당없음,250,0,0,250,2500,650,550,0,250,0,0,100,0,0,4050,미역,5000,다시마,6000, , , , , , , , 
1522-09000010,품종명1,미역,5,9,7140,4000,428,7000,1,3,,,,4000,72000,1,1,,,1,,,,1,,,,10,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,2000,2000,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,300,0,500,3000,0,0,0,0,0,8800,미역,9000,쇠미역,1500,다시마,6000, , , , , , 
1522-09000010,품종명2,쇠미역,5,10,1500,500,428,7000,1,3,,,,500,100000,1,1,,,1,,,,1,,,,11,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,1000,1000,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,300,0,500,3000,0,0,0,0,0,8800,미역,9000,쇠미역,1500,다시마,6000, , , , , , 
1522-09000010,품종명3,다시마,9,11,6400,1500,384,7000,1,3,,,,1500,130000,1,1,,,1,,,,1,,,,11,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,2000,2000,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,300,0,500,3000,0,0,0,0,0,8800,미역,9000,쇠미역,1500,다시마,6000, , , , , , 
1523-09000010,품종명1,미역,5,9,10000,7020,633,90000,1,3,,,,7000,10000,1,1,,,1,,,,3,,,용달차,10,해당없음,해당없음,7,해당없음,20,30,20,0,10,0,0,4,해당없음,0,15000,1000,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,6000,1000,0,4000,7500,0,2000,1000,0,0,21500,미역,7000,다시마,7000, , , , , , , , 
1523-09000010,품종명2,다시마,9,10,10000,7020,633,90000,1,3,,,,7000,5000,1,1,,,1,,,,3,,,용달차,11,해당없음,해당없음,7,해당없음,20,30,20,0,10,0,0,1,17,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,6000,1000,0,4000,7500,0,2000,1000,0,0,21500,미역,7000,다시마,7000, , , , , , , , 
1530-09000010,품종명1,미역,5,10,9000,9000,330,3300,1,3,,,,9000,18000,2,1,,,1,,,,3,,,배,10,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,300,0,0,36,306,0,0,100,0,0,742,미역,9000,다시마,15000, , , , , , , , 
1530-09000010,품종명2,다시마,10,10,15000,15000,330,3300,1,3,,,,15000,18000,2,1,,,1,,,,3,,,배,11,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,300,0,0,36,306,0,0,100,0,0,742,미역,9000,다시마,15000, , , , , , , , 
1537-09000010,품종명1,미역,5,9,15100,6000,1056,60000,1,3,,,,6000,12000,1,1,,,1,,,,3,,,용달차,10,해당없음,해당없음,7,해당없음,해당없음,60,0,0,10,50,0,4,해당없음,0,90000,6000,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2000,6400,0,3000,10300,0,0,500,0,0,22200,미역,11500,다시마,13000, , , , , , , , 
1537-09000010,품종명2,다시마,9,10,15000,15000,1056,60000,1,3,,,,15000,12000,1,1,,,1,,,,3,,,용달차,11,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,1,15,0,6000,400,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2000,6400,0,3000,10300,0,0,500,0,0,22200,미역,11500,다시마,13000, , , , , , , , 
1556-09000010,품종명1,미역,5,9,8000,8000,184,8000,1,3,,,,8000,9600,1,1,,,1,,,,1,,,,10,해당없음,해당없음,7,해당없음,해당없음,20,20,0,0,0,해당없음,4,해당없음,0,2000,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2000,900,0,300,600,0,0,600,0,0,4400,미역,8000,다시마,12000, , , , , , , , 
1556-09000010,품종명2,다시마,9,10,12000,12000,184,6000,1,3,,,,12000,18000,1,1,,,1,,,,1,,,,12,해당없음,해당없음,7,해당없음,해당없음,20,20,0,0,0,해당없음,4,해당없음,0,4000,600,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2000,900,0,300,600,0,0,600,0,0,4400,미역,8000,다시마,12000, , , , , , , , 
1575-09000010,품종명1,미역,5,9,35000,30100,1320,120000,1,3,,,,30000,45000,1,3,,,1,,,,3,,,용달차,10,해당없음,해당없음,7,해당없음,100,15,0,0,15,0,0,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,1500,0,3000,24000,0,4000,1000,0,0,38500,미역,30000,다시마,30000, , , , , , , , 
1575-09000010,품종명2,다시마,9,10,35000,30100,1320,120000,1,3,,,,30000,24000,1,3,,,1,,,,3,,,용달차,11,해당없음,해당없음,7,해당없음,100,15,0,0,15,0,0,1,15,0,22500,1500,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,1500,0,3000,24000,0,4000,1000,0,0,38500,미역,30000,다시마,30000, , , , , , , , 
1593-09000010,품종명1,미역,5,9,7000,6000,1980,30000,1,3,,,,6000,9000,1,1,,,1,,,,1,,,,10,해당없음,해당없음,7,해당없음,해당없음,20,10,0,10,0,해당없음,4,모름,2000,2000,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3000,300,0,0,7000,0,0,1000,0,0,11300,미역,7000,다시마,8020, , , , , , , , 
1593-09000010,품종명2,다시마,9,11,8000,8000,1980,30000,1,3,,,,7000,8400,1,1,,,1,,,,1,,,,12,해당없음,해당없음,7,해당없음,해당없음,20,10,0,10,0,모름,4,해당없음,1000,1000,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3000,300,0,0,7000,0,0,1000,0,0,11300,미역,7000,다시마,8020, , , , , , , , 
1651-09000010,품종명1,미역,5,9,6000,5020,660,40000,1,3,,,,5000,12500,1,1,,,1,,,,3,,,용달차,10,해당없음,해당없음,7,해당없음,20,20,0,0,20,0,0,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7500,300,0,1200,600,0,0,1000,0,0,10600,미역,6000,다시마,10000, , , , , , , , 
1651-09000010,품종명2,다시마,9,10,10000,8000,660,40000,1,3,,,,8000,8000,1,1,,,1,,,,3,,,용달차,12,해당없음,해당없음,7,해당없음,0,20,0,0,20,0,0,1,15,0,4500,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7500,300,0,1200,600,0,0,1000,0,0,10600,미역,6000,다시마,10000, , , , , , , , 
1656-09000010,품종명1,미역,5,9,5000,4000,546,20000,1,3,,,,4000,8000,1,1,,,1,,,,3,,,용달차,10,해당없음,해당없음,7,해당없음,해당없음,20,0,0,20,0,0,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2400,500,0,540,3500,0,0,0,0,0,6940,미역,3000,다시마,4000, , , , , , , , 
1656-09000010,품종명2,다시마,10,11,5100,4100,546,20000,1,3,,,,4100,4100,1,1,,,1,,,,3,,,용달차,12,해당없음,해당없음,7,해당없음,해당없음,20,0,0,20,0,0,1,15,0,7500,500,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2400,500,0,540,3500,0,0,0,0,0,6940,미역,3000,다시마,4000, , , , , , , , 
1664-09000010,품종명1,미역,5,9,8000,4500,660,80000,1,3,,,,4500,6750,1,1,,,1,,,,3,,,용달차,10,해당없음,해당없음,7,해당없음,해당없음,32,0,0,32,0,1000,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1500,300,0,50,4500,0,0,0,0,0,6350,미역,7000,다시마,5000, , , , , , , , 
1664-09000010,품종명2,다시마,9,11,5000,3000,660,80000,1,3,,,,3000,3000,1,1,,,1,,,,3,,,용달차,12,해당없음,해당없음,7,해당없음,해당없음,20,0,0,0,20,1000,1,15,0,4500,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1500,300,0,50,4500,0,0,0,0,0,6350,미역,7000,다시마,5000, , , , , , , , 
1678-09000010,품종명1,미역,5,9,10000,5000,1000,60000,1,3,,,,5000,12500,1,1,,,1,,,,3,,,화물차,10,해당없음,해당없음,7,해당없음,해당없음,50,0,0,50,0,0,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,1500,0,2000,6800,0,0,300,0,0,15600,미역,3000,다시마,3000, , , , , , , , 
1678-09000010,품종명2,다시마,9,10,10000,5000,1000,60000,1,3,,,,5000,5000,1,1,,,1,,,,3,,,화물차,11,해당없음,해당없음,7,해당없음,해당없음,50,0,0,50,0,0,1,15,0,22500,1500,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,5000,1500,0,2000,6800,0,0,300,0,0,15600,미역,3000,다시마,3000, , , , , , , , 
1733-09000010,품종명1,미역,5,7,5500,4500,510,20000,1,3,,,,3500,3500,1,1,,,1,,,,3,,,화물,10,해당없음,해당없음,7,해당없음,5,30,10,0,10,10,1000,4,해당없음,400,400,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1000,300,0,1000,3000,0,0,500,0,0,5800,미역,6000,다시마,7000, , , , , , , , 
1733-09000010,품종명2,다시마,9,10,6900,5500,510,20000,1,3,,,,5000,5000,1,1,,,1,,,,3,,,화물,12,해당없음,해당없음,7,해당없음,해당없음,20,10,0,0,10,500,4,해당없음,500,500,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1000,300,0,1000,3000,0,0,500,0,0,5800,미역,6000,다시마,7000, , , , , , , , 
1759-09000010,품종명1,미역,4,8,4800,4800,360,3600,1,3,,,,4800,5000,1,1,,,1,,,,1,,,,10,해당없음,해당없음,7,해당없음,해당없음,3,0,0,3,0,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,300,0,0,300,600,0,300,100,4000,0,0,100,0,0,5100,미역,4800,,,,, , , , , , 
1763-09000010,품종명1,미역,10,10,5000,5000,495,30000,1,3,,,,5000,10000,1,1,,,1,,,,1,,,,10,해당없음,해당없음,7,해당없음,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,500,500,300,해당없음,해당없음,100,0,0,100,2700,650,200,0,250,0,0,100,0,0,3900,미역,5000,다시마,6000, , , , , , , , 
1763-09000010,품종명2,다시마,12,12,6000,6000,495,30000,1,3,,,,6000,6000,1,1,,,1,,,,1,,,,12,해당없음,해당없음,7,해당없음,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,500,500,350,해당없음,해당없음,100,0,0,100,2700,650,200,0,250,0,0,100,0,0,3900,미역,5000,다시마,6000, , , , , , , , 
1850-09010010,품종명1,감태,10,12,400,300,150,1000,1,3,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,200,0,0,200,200,0,200,0,200,0,0,0,0,0,600,감태,400,,,,, , , , , , 
1873-09010011,품종명1,감태,10,11,1000,1000,570,3000,1,,,,6,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,1000,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1,20,1000,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3000,0,0,200,4000,0,0,0,0,0,7200,감태,1000,곰피,600,대황,300, , , , , , 
1873-09010011,품종명2,곰피,10,11,600,600,570,3000,1,,,,6,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,600,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1,20,2000,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3000,0,0,200,4000,0,0,0,0,0,7200,감태,1000,곰피,600,대황,300, , , , , , 
1873-09010011,품종명3,대황,10,11,300,300,570,3000,1,,,,6,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1,20,500,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3000,0,0,200,4000,0,0,0,0,0,7200,감태,1000,곰피,600,대황,300, , , , , , 
